fixture_id,season,gamecode,source_event_order,provider_number_of_play,period,clock,team_code,play_type,player_id,player_name,play_info,score_a,score_b,comment,expected_incident_id,expected_parent_order,expected_ft_trip_id,expected_possession_end,expected_end_reason,review_status,label_confidence_pct
technical_after_made_basket,2025,220,56,80,1,03:33,BAR,2FGM,P003196,"HERNANGOMEZ, WILLY","Two Pointer (1/1 -  2 pt)",10,4,,g220_q1_made_56,56,,TRUE,made_field_goal,confirmed,99
technical_after_made_basket,2025,220,57,81,1,03:33,BAR,AS,P002939,"SATORANSKY, TOMAS","Assist (1)",,,,g220_q1_made_56,56,,FALSE,,confirmed,99
technical_after_made_basket,2025,220,58,82,1,03:33,MAD,B,CO_A,,"Bench Foul (1)",,,,g220_q1_bench_technical_58,58,,FALSE,,confirmed,99
technical_after_made_basket,2025,220,59,83,1,03:33,MAD,OUT,P003733,"ABALDE, ALBERTO",Out,,,,,59,,FALSE,,confirmed,99
technical_after_made_basket,2025,220,60,84,1,03:33,MAD,IN,P007027,"MALEDON, THEO",In,,,,,60,,FALSE,,confirmed,99
technical_after_made_basket,2025,220,61,85,1,03:33,BAR,OUT,P014134,"NORRIS, MILES",Out,,,,,61,,FALSE,,confirmed,99
technical_after_made_basket,2025,220,62,86,1,03:33,BAR,OUT,P002939,"SATORANSKY, TOMAS",Out,,,,,62,,FALSE,,confirmed,99
technical_after_made_basket,2025,220,63,87,1,03:33,BAR,IN,P006435,"LAPROVITTOLA, NICOLAS",In,,,,,63,,FALSE,,confirmed,99
technical_after_made_basket,2025,220,64,88,1,03:33,BAR,IN,P001133,"SHENGELIA, TORNIKE",In,,,,,64,,FALSE,,confirmed,99
technical_after_made_basket,2025,220,65,89,1,03:33,BAR,FTM,P009862,"PUNTER, KEVIN","Free Throw In (1/1 -  1 pt)",10,5,,g220_q1_bench_technical_58,58,g220_q1_bench_technical_ft,FALSE,,confirmed,99
technical_after_made_basket,2025,220,66,90,1,03:33,MAD,IN,P014117,"LYLES, TREY",In,,,,,66,,FALSE,,confirmed,99
technical_after_made_basket,2025,220,67,91,1,03:33,MAD,OUT,P014006,"OKEKE, CHUMA",Out,,,,,67,,FALSE,,confirmed,99
personal_then_technical_same_clock,2025,240,422,462,4,08:20,RED,CM,P011982,"OJELEYE, SEMI","Foul (1)",,,,g240_q4_personal_422,422,,FALSE,,confirmed,98
personal_then_technical_same_clock,2025,240,423,463,4,08:20,VIR,RV,P011987,"EDWARDS, CARSEN","Foul Drawn (3)",,,,g240_q4_personal_422,422,,FALSE,,confirmed,98
personal_then_technical_same_clock,2025,240,424,464,4,08:20,VIR,FTA,P011987,"EDWARDS, CARSEN","Missed Free Throw (0/1 -  15 pt)",,,,g240_q4_personal_422,422,g240_q4_personal_ft,FALSE,,confirmed,98
personal_then_technical_same_clock,2025,240,425,465,4,08:20,VIR,FTM,P011987,"EDWARDS, CARSEN","Free Throw In (1/2 -  16 pt)",69,86,,g240_q4_personal_422,422,g240_q4_personal_ft,TRUE,ordinary_ft_trip_final_make,confirmed,98
personal_then_technical_same_clock,2025,240,426,468,4,08:20,VIR,CMT,P011987,"EDWARDS, CARSEN","Technical Foul (3)",,,,g240_q4_technical_426,426,,FALSE,,confirmed,98
personal_then_technical_same_clock,2025,240,427,469,4,08:20,VIR,OUT,P011987,"EDWARDS, CARSEN",Out,,,,,427,,FALSE,,confirmed,98
personal_then_technical_same_clock,2025,240,428,470,4,08:20,VIR,IN,P014005,"ALSTON JR., DERRICK",In,,,,,428,,FALSE,,confirmed,98
personal_then_technical_same_clock,2025,240,429,471,4,08:20,RED,FTM,P014163,"BUTLER, JARED","Free Throw In (3/3 -  16 pt)",69,87,,g240_q4_technical_426,426,g240_q4_technical_ft,FALSE,,confirmed,98
personal_then_technical_same_clock,2025,240,430,472,4,08:13,RED,OF,P012044,"DOS SANTOS, YAGO","Offensive Foul (1)",,,,g240_q4_offensive_foul_430,430,,FALSE,,confirmed,98
personal_then_technical_same_clock,2025,240,431,473,4,08:13,RED,TO,P012044,"DOS SANTOS, YAGO","Turnover (2)",,,,g240_q4_offensive_foul_430,430,,TRUE,turnover,confirmed,98
personal_then_technical_same_clock,2025,240,432,474,4,08:13,VIR,RV,P007947,"VILDOZA, LUCA","Foul Drawn (1)",,,,g240_q4_offensive_foul_430,430,,FALSE,,confirmed,98
opposing_ft_trips_same_clock,2025,240,488,534,4,04:34,RED,3FGA,P013363,"NWORA, JORDAN","Missed Three Pointer (3/7 -  15 pt)",,,,g240_q4_miss_488,488,,FALSE,,confirmed,99
opposing_ft_trips_same_clock,2025,240,489,535,4,04:33,RED,O,P014029,"IZUNDU, EBUKA","Off Rebound (5)",,,,g240_q4_miss_488,488,,FALSE,,confirmed,99
opposing_ft_trips_same_clock,2025,240,490,536,4,04:33,VIR,CM,P007947,"VILDOZA, LUCA","Foul (2)",,,,g240_q4_personal_490,490,,FALSE,,confirmed,99
opposing_ft_trips_same_clock,2025,240,491,537,4,04:33,RED,RV,P014029,"IZUNDU, EBUKA","Foul Drawn (2)",,,,g240_q4_personal_490,490,,FALSE,,confirmed,99
opposing_ft_trips_same_clock,2025,240,492,538,4,04:33,RED,FTA,P014029,"IZUNDU, EBUKA","Missed Free Throw (0/1 -  6 pt)",,,,g240_q4_personal_490,490,g240_q4_red_personal_ft,FALSE,,confirmed,99
opposing_ft_trips_same_clock,2025,240,493,539,4,04:33,RED,FTA,P014029,"IZUNDU, EBUKA","Missed Free Throw (0/2 -  6 pt)",,,,g240_q4_personal_490,490,g240_q4_red_personal_ft,TRUE,final_ft_miss_defensive_rebound,confirmed,99
opposing_ft_trips_same_clock,2025,240,494,540,4,04:33,VIR,D,,,"Def Rebound (5)",,,,g240_q4_personal_490,490,,FALSE,,confirmed,99
opposing_ft_trips_same_clock,2025,240,495,541,4,04:33,RED,CM,P012201,"MONEKE, CHIMA","Foul (2)",,,,g240_q4_personal_495,495,,FALSE,,confirmed,99
opposing_ft_trips_same_clock,2025,240,496,542,4,04:33,VIR,RV,P014005,"ALSTON JR., DERRICK","Foul Drawn (2)",,,,g240_q4_personal_495,495,,FALSE,,confirmed,99
opposing_ft_trips_same_clock,2025,240,497,543,4,04:33,VIR,FTM,P014005,"ALSTON JR., DERRICK","Free Throw In (2/2 -  17 pt)",81,94,,g240_q4_personal_495,495,g240_q4_vir_personal_ft,FALSE,,confirmed,99
opposing_ft_trips_same_clock,2025,240,498,544,4,04:33,VIR,FTM,P014005,"ALSTON JR., DERRICK","Free Throw In (3/3 -  18 pt)",82,94,,g240_q4_personal_495,495,g240_q4_vir_personal_ft,TRUE,ordinary_ft_trip_final_make,confirmed,99
interleaved_unsportsmanlike,2025,320,329,357,3,05:07,MAD,2FGA,P003108,"HEZONJA, MARIO","Missed Two Pointer (7/15 -  15 pt)",,,,g320_q3_miss_329,329,,FALSE,,confirmed,99
interleaved_unsportsmanlike,2025,320,330,358,3,05:05,MAD,O,P005791,"TAVARES, WALTER","Off Rebound (4)",,,,g320_q3_miss_329,329,,FALSE,,confirmed,99
interleaved_unsportsmanlike,2025,320,331,359,3,05:05,ZAL,CM,P011927,"SLEVA, DUSTIN","Foul (3)",,,,g320_q3_personal_331,331,,FALSE,,provisional,90
interleaved_unsportsmanlike,2025,320,332,360,3,05:05,MAD,RV,P005791,"TAVARES, WALTER","Foul Drawn (5)",,,,g320_q3_personal_331,331,,FALSE,,provisional,90
interleaved_unsportsmanlike,2025,320,333,362,3,05:05,MAD,CMU,P005791,"TAVARES, WALTER","Unsportsmanlike Foul  (1)",,,,g320_q3_unsportsmanlike_333,333,,FALSE,,provisional,90
interleaved_unsportsmanlike,2025,320,334,363,3,05:05,ZAL,RV,P002676,"BUTKEVICIUS, ARNAS","Foul Drawn (1)",,,,g320_q3_unsportsmanlike_333,333,,FALSE,,provisional,90
interleaved_unsportsmanlike,2025,320,335,361,3,05:05,ZAL,CCH,,,"Coach Challenge (3)",,,,,335,,FALSE,,provisional,90
interleaved_unsportsmanlike,2025,320,336,364,3,05:05,MAD,FTM,P005791,"TAVARES, WALTER","Free Throw In (5/6 -  11 pt)",61,62,,g320_q3_personal_331,331,g320_q3_mad_personal_ft,FALSE,,provisional,90
interleaved_unsportsmanlike,2025,320,337,365,3,05:05,MAD,FTM,P005791,"TAVARES, WALTER","Free Throw In (6/7 -  12 pt)",61,63,,g320_q3_personal_331,331,g320_q3_mad_personal_ft,TRUE,compound_penalty_offense_resolved,provisional,90
interleaved_unsportsmanlike,2025,320,338,367,3,05:05,ZAL,FTA,P002676,"BUTKEVICIUS, ARNAS","Missed Free Throw (0/1 -  5 pt)",,,,g320_q3_unsportsmanlike_333,333,g320_q3_zal_unsportsmanlike_ft,FALSE,,provisional,90
interleaved_unsportsmanlike,2025,320,339,368,3,05:05,ZAL,FTA,P002676,"BUTKEVICIUS, ARNAS","Missed Free Throw (0/2 -  5 pt)",,,,g320_q3_unsportsmanlike_333,333,g320_q3_zal_unsportsmanlike_ft,FALSE,,provisional,90
interleaved_unsportsmanlike,2025,320,340,370,3,04:48,ZAL,3FGA,P007975,"FRANCISCO, SYLVAIN","Missed Three Pointer (3/6 -  16 pt)",,,,g320_q3_miss_340,340,,TRUE,miss_defensive_rebound,confirmed,99
interleaved_unsportsmanlike,2025,320,341,371,3,04:46,MAD,D,P005791,"TAVARES, WALTER","Def Rebound (4)",,,,g320_q3_miss_340,340,,FALSE,,confirmed,99
clock_shifted_coach_technical,2025,7,451,497,4,03:16,VIR,3FGA,P011987,"EDWARDS, CARSEN","Missed Three Pointer (3/6 -  12 pt)",,,,g7_q4_miss_451,451,,TRUE,miss_defensive_rebound,confirmed,98
clock_shifted_coach_technical,2025,7,452,498,4,03:16,MAD,D,P003108,"HEZONJA, MARIO","Def Rebound (3)",,,,g7_q4_miss_451,451,,FALSE,,confirmed,98
clock_shifted_coach_technical,2025,7,453,499,4,03:16,MAD,2FGA,P003108,"HEZONJA, MARIO","Missed Two Pointer (7/10 -  14 pt)",,,,g7_q4_miss_453,453,,FALSE,,confirmed,98
clock_shifted_coach_technical,2025,7,454,500,4,03:16,MAD,O,,,"Off Rebound (4)",,,,g7_q4_miss_453,453,,FALSE,,confirmed,98
clock_shifted_coach_technical,2025,7,455,501,4,03:16,MAD,CCH,,,"Coach Challenge (2)",,,,,455,,FALSE,,confirmed,98
clock_shifted_coach_technical,2025,7,456,502,4,03:16,MAD,C,CO_B,,"Coach Foul (1)",,,,g7_q4_coach_technical_456,456,,FALSE,,confirmed,98
clock_shifted_coach_technical,2025,7,457,504,4,02:48,VIR,FTA,P011987,"EDWARDS, CARSEN","Missed Free Throw (3/4 -  12 pt)",,,,g7_q4_coach_technical_456,456,g7_q4_coach_technical_ft,FALSE,,confirmed,98
clock_shifted_coach_technical,2025,7,458,505,4,02:44,MAD,3FGA,P003108,"HEZONJA, MARIO","Missed Three Pointer (0/6 -  14 pt)",,,,g7_q4_miss_458,458,,FALSE,,confirmed,98
clock_shifted_coach_technical,2025,7,459,506,4,02:41,MAD,O,P005928,"CAMPAZZO, FACUNDO","Off Rebound (1)",,,,g7_q4_miss_458,458,,FALSE,,confirmed,98
blocked_shot_defensive_rebound,2025,1,196,212,2,05:40,TEL,2FGA,P013699,"CLARK III, JIMMY","Missed Two Pointer (1/4 -  3 pt)",,,,g1_q2_block_196,196,,TRUE,blocked_shot_defensive_rebound,confirmed,99
blocked_shot_defensive_rebound,2025,1,197,213,2,05:40,TEL,AG,P013699,"CLARK III, JIMMY","Shot Rejected (1)",,,,g1_q2_block_196,196,,FALSE,,confirmed,99
blocked_shot_defensive_rebound,2025,1,198,214,2,05:34,IST,FV,P014102,"JONES, KAI","Block (1)",,,,g1_q2_block_196,196,,FALSE,,confirmed,99
blocked_shot_defensive_rebound,2025,1,199,215,2,05:32,IST,D,P007109,"SMITS, ROLANDS","Def Rebound (1)",,,,g1_q2_block_196,196,,FALSE,,confirmed,99
period_end_blocked_shot,2025,1,401,433,3,00:03,TEL,TO,P014123,"DOWTIN JR, JEFFREY","Turnover (3)",,,,g1_q3_turnover_401,401,,TRUE,turnover,confirmed,99
period_end_blocked_shot,2025,1,402,434,3,00:01,IST,ST,P011201,"HAZER, SEHMUS","Steal (1)",,,,g1_q3_turnover_401,401,,FALSE,,confirmed,99
period_end_blocked_shot,2025,1,403,435,3,00:00,IST,2FGA,P009549,"CORDINIER, ISAIA","Missed Two Pointer (3/7 -  7 pt)",,,,g1_q3_block_403,403,,TRUE,period_end_blocked_miss,confirmed,99
period_end_blocked_shot,2025,1,404,436,3,00:00,IST,AG,P009549,"CORDINIER, ISAIA","Shot Rejected (1)",,,,g1_q3_block_403,403,,FALSE,,confirmed,99
period_end_blocked_shot,2025,1,405,437,3,00:00,TEL,FV,P013289,"SANTOS, MARCIO","Block (1)",,,,g1_q3_block_403,403,,FALSE,,confirmed,99
period_end_blocked_shot,2025,1,406,439,3,,,EP,,,"End Period",,,,,406,,FALSE,,confirmed,99
technical_then_personal_ft_trips,2025,7,129,148,2,08:50,VIR,2FGA,P014108,"DIARRA, ALIOU","Missed Two Pointer (1/2 -  2 pt)",,,,g7_q2_miss_129,129,,TRUE,miss_defensive_rebound,confirmed,99
technical_then_personal_ft_trips,2025,7,130,149,2,08:47,MAD,D,P014117,"LYLES, TREY","Def Rebound (2)",,,,g7_q2_miss_129,129,,FALSE,,confirmed,99
technical_then_personal_ft_trips,2025,7,131,150,2,08:42,VIR,CM,P014108,"DIARRA, ALIOU","Foul (1)",,,,g7_q2_personal_131,131,,FALSE,,provisional,94
technical_then_personal_ft_trips,2025,7,132,151,2,08:42,MAD,RV,P007630,"GARUBA, USMAN","Foul Drawn (1)",,,,g7_q2_personal_131,131,,FALSE,,provisional,94
technical_then_personal_ft_trips,2025,7,133,152,2,08:42,VIR,CMT,P014108,"DIARRA, ALIOU","Technical Foul (2)",,,,g7_q2_technical_133,133,,FALSE,,provisional,94
technical_then_personal_ft_trips,2025,7,134,153,2,08:42,VIR,OUT,P014108,"DIARRA, ALIOU",Out,,,,,134,,FALSE,,confirmed,99
technical_then_personal_ft_trips,2025,7,135,154,2,08:42,VIR,IN,P013374,"DIOUF, MOUHAMET",In,,,,,135,,FALSE,,confirmed,99
technical_then_personal_ft_trips,2025,7,136,155,2,08:42,MAD,OUT,P014117,"LYLES, TREY",Out,,,,,136,,FALSE,,confirmed,99
technical_then_personal_ft_trips,2025,7,137,156,2,08:42,MAD,IN,P014006,"OKEKE, CHUMA",In,,,,,137,,FALSE,,confirmed,99
technical_then_personal_ft_trips,2025,7,138,157,2,08:42,MAD,FTM,PTGB,"LLULL, SERGIO","Free Throw In (1/1 -  1 pt)",16,20,,g7_q2_technical_133,133,g7_q2_technical_ft,FALSE,,provisional,94
technical_then_personal_ft_trips,2025,7,139,158,2,08:42,MAD,FTM,P007630,"GARUBA, USMAN","Free Throw In (1/1 -  1 pt)",16,21,,g7_q2_personal_131,131,g7_q2_personal_ft,FALSE,,provisional,94
technical_then_personal_ft_trips,2025,7,140,159,2,08:42,MAD,FTA,P007630,"GARUBA, USMAN","Missed Free Throw (1/2 -  1 pt)",,,,g7_q2_personal_131,131,g7_q2_personal_ft,TRUE,final_ft_miss_defensive_rebound,provisional,94
technical_then_personal_ft_trips,2025,7,141,160,2,08:42,VIR,D,P001844,"HACKETT, DANIEL","Def Rebound (1)",,,,g7_q2_personal_131,131,,FALSE,,provisional,94
technical_then_personal_ft_trips,2025,7,142,161,2,08:28,VIR,3FGM,P012585,"MORGAN, MATTHEW","Three Pointer (1/2 -  3 pt)",19,21,,g7_q2_made_142,142,,TRUE,made_field_goal,confirmed,99
offsetting_technicals_personal_trip,2025,300,342,390,3,01:00,OLY,TO,P011981,"JONES, TYRIQUE","Turnover (1)",,,,g300_q3_turnover_342,342,,TRUE,turnover,confirmed,99
offsetting_technicals_personal_trip,2025,300,343,392,3,00:59,PAN,ST,P007866,"MITOGLOU, KONSTANTINOS","Steal (1)",,,,g300_q3_turnover_342,342,,FALSE,,confirmed,99
offsetting_technicals_personal_trip,2025,300,344,393,3,00:59,PAN,RV,P001926,"SLOUKAS, KOSTAS","Foul Drawn (1)",,,,g300_q3_personal_345,345,,FALSE,,provisional,92
offsetting_technicals_personal_trip,2025,300,345,394,3,00:59,OLY,CM,P012610,"WARD, TYSON","Foul (3)",,,,g300_q3_personal_345,345,,FALSE,,provisional,92
offsetting_technicals_personal_trip,2025,300,346,396,3,00:59,PAN,CMT,P001926,"SLOUKAS, KOSTAS","Technical Foul (1)",,,,g300_q3_offsetting_tech_346,346,,FALSE,,provisional,92
offsetting_technicals_personal_trip,2025,300,347,395,3,00:59,OLY,CMT,P011981,"JONES, TYRIQUE","Technical Foul (1)",,,,g300_q3_offsetting_tech_347,347,,FALSE,,provisional,92
offsetting_technicals_personal_trip,2025,300,348,397,3,00:59,PAN,OUT,P011204,"GRANT, JERIAN",Out,,,,,348,,FALSE,,confirmed,99
offsetting_technicals_personal_trip,2025,300,349,398,3,00:59,PAN,IN,P012774,"NUNN, KENDRICK",In,,,,,349,,FALSE,,confirmed,99
offsetting_technicals_personal_trip,2025,300,350,399,3,00:59,PAN,FTM,P001926,"SLOUKAS, KOSTAS","Free Throw In (1/1 -  1 pt)",58,53,,g300_q3_personal_345,345,g300_q3_personal_ft,FALSE,,provisional,92
offsetting_technicals_personal_trip,2025,300,351,400,3,00:59,PAN,FTM,P001926,"SLOUKAS, KOSTAS","Free Throw In (2/2 -  2 pt)",58,54,,g300_q3_personal_345,345,g300_q3_personal_ft,TRUE,compound_penalty_offense_resolved,provisional,92
offsetting_technicals_personal_trip,2025,300,352,401,3,00:59,PAN,IN,P012712,"HERNANGOMEZ, JUANCHO",In,,,,,352,,FALSE,,confirmed,99
offsetting_technicals_personal_trip,2025,300,353,402,3,00:59,PAN,OUT,P007866,"MITOGLOU, KONSTANTINOS",Out,,,,,353,,FALSE,,confirmed,99
offsetting_technicals_personal_trip,2025,300,354,403,3,00:38,OLY,2FGA,P014316,"JOSEPH, CORY","Missed Two Pointer (2/5 -  5 pt)",,,,g300_q3_miss_354,354,,TRUE,miss_defensive_rebound,confirmed,99
offsetting_technicals_personal_trip,2025,300,355,404,3,00:38,PAN,D,,,"Def Rebound (5)",,,,g300_q3_miss_354,354,,FALSE,,confirmed,99
throw_in_then_personal_ft_trips,2025,20,603,649,4,00:19,ULK,2FGM,P012613,"JANTUNEN, MIKAEL","Two Pointer (1/1 -  2 pt)",82,81,,g20_q4_made_603,603,,TRUE,made_field_goal,confirmed,99
throw_in_then_personal_ft_trips,2025,20,604,651,4,00:19,ULK,CMTI,P014124,"HORTON TUCKER, TALEN","Throw-In Foul (4)",,,,g20_q4_throw_in_604,604,,FALSE,,provisional,95
throw_in_then_personal_ft_trips,2025,20,605,652,4,00:19,ZAL,RV,P007975,"FRANCISCO, SYLVAIN","Foul Drawn (5)",,,,g20_q4_throw_in_604,604,,FALSE,,provisional,95
throw_in_then_personal_ft_trips,2025,20,606,653,4,00:19,ULK,OUT,P014124,"HORTON TUCKER, TALEN",Out,,,,,606,,FALSE,,confirmed,99
throw_in_then_personal_ft_trips,2025,20,607,654,4,00:19,ULK,IN,P006961,"BIBEROVIC, TARIK",In,,,,,607,,FALSE,,confirmed,99
throw_in_then_personal_ft_trips,2025,20,608,655,4,00:19,ULK,IN,P007929,"BITIM, ONURALP",In,,,,,608,,FALSE,,confirmed,99
throw_in_then_personal_ft_trips,2025,20,609,656,4,00:19,ULK,OUT,P012613,"JANTUNEN, MIKAEL",Out,,,,,609,,FALSE,,confirmed,99
throw_in_then_personal_ft_trips,2025,20,610,657,4,00:19,ZAL,OUT,P012878,"WRIGHT, MOSES",Out,,,,,610,,FALSE,,confirmed,99
throw_in_then_personal_ft_trips,2025,20,611,658,4,00:19,ZAL,IN,P007032,"LO, MAODO",In,,,,,611,,FALSE,,confirmed,99
throw_in_then_personal_ft_trips,2025,20,612,659,4,00:19,ZAL,FTA,P007975,"FRANCISCO, SYLVAIN","Missed Free Throw (3/7 -  18 pt)",,,,g20_q4_throw_in_604,604,g20_q4_throw_in_ft,FALSE,,provisional,95
throw_in_then_personal_ft_trips,2025,20,613,660,4,00:12,ULK,CM,P011205,"HALL, DEVON","Foul (2)",,,,g20_q4_personal_613,613,,FALSE,,confirmed,99
throw_in_then_personal_ft_trips,2025,20,614,661,4,00:12,ZAL,RV,P007982,"WILLIAMS-GOSS, NIGEL","Foul Drawn (4)",,,,g20_q4_personal_613,613,,FALSE,,confirmed,99
throw_in_then_personal_ft_trips,2025,20,615,662,4,00:12,ZAL,IN,P012878,"WRIGHT, MOSES",In,,,,,615,,FALSE,,confirmed,99
throw_in_then_personal_ft_trips,2025,20,616,663,4,00:12,ZAL,OUT,P007032,"LO, MAODO",Out,,,,,616,,FALSE,,confirmed,99
throw_in_then_personal_ft_trips,2025,20,617,664,4,00:12,ULK,IN,P014124,"HORTON TUCKER, TALEN",In,,,,,617,,FALSE,,confirmed,99
throw_in_then_personal_ft_trips,2025,20,618,665,4,00:12,ULK,OUT,P007929,"BITIM, ONURALP",Out,,,,,618,,FALSE,,confirmed,99
throw_in_then_personal_ft_trips,2025,20,619,666,4,00:12,ZAL,FTM,P007982,"WILLIAMS-GOSS, NIGEL","Free Throw In (5/6 -  19 pt)",83,81,,g20_q4_personal_613,613,g20_q4_personal_ft,FALSE,,confirmed,99
throw_in_then_personal_ft_trips,2025,20,620,667,4,00:12,ZAL,FTM,P007982,"WILLIAMS-GOSS, NIGEL","Free Throw In (6/7 -  20 pt)",84,81,,g20_q4_personal_613,613,g20_q4_personal_ft,TRUE,ordinary_ft_trip_final_make,confirmed,99
throw_in_then_personal_ft_trips,2025,20,621,668,4,00:03,ULK,3FGA,P002849,"MELLI, NICOLO","Missed Three Pointer (1/6 -  5 pt)",,,,g20_q4_miss_621,621,,TRUE,miss_defensive_rebound,confirmed,99
throw_in_then_personal_ft_trips,2025,20,622,669,4,00:02,ZAL,D,P007982,"WILLIAMS-GOSS, NIGEL","Def Rebound (2)",,,,g20_q4_miss_621,621,,FALSE,,confirmed,99
throw_in_then_personal_ft_trips,2025,20,623,677,4,,,EG,,,"End Game",,,,,623,,FALSE,,confirmed,99
retained_possession_after_made_basket,2025,5,106,127,2,09:43,HTA,3FGA,P010568,"JONES, CHRIS","Missed Three Pointer (0/2 -  2 pt)",,,,g5_q2_miss_106,106,,FALSE,,confirmed,99
retained_possession_after_made_basket,2025,5,107,128,2,09:42,HTA,O,P013284,"WAINRIGHT, ISH","Off Rebound (1)",,,,g5_q2_miss_106,106,,FALSE,,confirmed,99
retained_possession_after_made_basket,2025,5,108,129,2,09:42,HTA,2FGM,P013284,"WAINRIGHT, ISH","Two Pointer (1/1 -  5 pt)",28,26,,g5_q2_made_108,108,,TRUE,made_field_goal,provisional,90
retained_possession_after_made_basket,2025,5,109,130,2,09:42,BAR,CM,P000925,"VESELY, JAN","Foul (1)",,,,g5_q2_personal_109,109,,FALSE,,provisional,90
retained_possession_after_made_basket,2025,5,110,131,2,09:42,HTA,RV,P011157,"MOTLEY, JOHNATHAN","Foul Drawn (2)",,,,g5_q2_personal_109,109,,FALSE,,provisional,90
